event_id,expected_attendance,p10,p90
ft_evt_0006,66,57,75
ft_evt_0007,41,34,47
ft_evt_0008,53,51,56
ft_evt_0009,34,32,36
ft_evt_0014,78,72,84
ft_evt_0015,76,71,81
ft_evt_0016,50,45,56
ft_evt_0017,34,31,38
ft_evt_0023,167,161,173
ft_evt_0024,69,65,72
ft_evt_0025,90,87,93
ft_evt_0026,56,53,59
ft_evt_0032,159,151,167
ft_evt_0033,75,71,78
ft_evt_0034,48,44,52
ft_evt_0035,56,52,59
ft_evt_0040,100,95,104
ft_evt_0041,77,73,81
ft_evt_0042,57,54,61
ft_evt_0043,28,22,34
ft_evt_0044,49,46,51
ft_evt_0046,336,323,349
ft_evt_0048,168,160,175
ft_evt_0050,397,389,404
ft_evt_0052,320,305,334
ft_evt_0054,116,99,133
ft_evt_0056,357,350,364
ft_evt_0058,102,87,117
ft_evt_0060,259,225,293
ft_evt_0062,104,87,121
