sale_id,boom_user_id,confidence,ev_email,ev_phone,ev_nombre,via
ft_sal_000001,bm_usr_003920,1.0,1.0,1.0,1.0,directo
ft_sal_000002,bm_usr_002457,0.934,0.85,1.0,1.0,directo
ft_sal_000003,,0.0,0.25,0.0,1.0,
ft_sal_000004,,0.0,0.25,0.0,1.0,
ft_sal_000005,bm_usr_002025,0.934,0.85,1.0,1.0,directo
ft_sal_000006,,0.0,0.25,0.0,1.0,
ft_sal_000007,bm_usr_001952,0.56,0.0,1.0,1.0,directo
ft_sal_000008,,0.0,0.25,0.0,0.75,
ft_sal_000009,,0.0,0.25,0.0,1.0,
ft_sal_000010,bm_usr_002654,1.0,1.0,1.0,1.0,directo
ft_sal_000011,,0.0,0.25,0.0,1.0,
ft_sal_000012,bm_usr_002724,0.56,0.0,1.0,1.0,directo
ft_sal_000013,,0.0,0.25,0.0,1.0,
ft_sal_000014,bm_usr_000494,0.64,1.0,0.0,1.0,directo
ft_sal_000015,bm_usr_003740,1.0,1.0,1.0,1.0,directo
ft_sal_000016,,0.0,0.25,0.0,1.0,
ft_sal_000017,,0.0,0.25,0.0,0.75,
ft_sal_000018,bm_usr_001817,1.0,1.0,1.0,1.0,directo
ft_sal_000019,,0.0,0.25,0.0,1.0,
ft_sal_000020,bm_usr_005174,0.64,1.0,0.0,1.0,directo
ft_sal_000021,bm_usr_003677,0.64,1.0,0.0,1.0,directo
ft_sal_000022,bm_usr_003778,1.0,1.0,1.0,1.0,directo
ft_sal_000023,bm_usr_001859,0.56,0.0,1.0,1.0,directo
ft_sal_000024,,0.0,0.25,0.0,1.0,
ft_sal_000025,bm_usr_004201,0.64,1.0,0.0,1.0,directo
ft_sal_000026,bm_usr_002068,1.0,1.0,1.0,1.0,directo
ft_sal_000027,bm_usr_004537,1.0,1.0,1.0,1.0,directo
ft_sal_000028,bm_usr_000322,1.0,1.0,1.0,1.0,directo
ft_sal_000029,,0.0,0.25,0.0,1.0,
ft_sal_000030,bm_usr_002771,1.0,1.0,1.0,1.0,directo
ft_sal_000031,,0.0,0.25,0.0,1.0,
ft_sal_000032,,0.0,0.0,0.0,0.95,
ft_sal_000033,bm_usr_001012,1.0,1.0,1.0,1.0,directo
ft_sal_000034,,0.0,0.25,0.0,1.0,
ft_sal_000035,bm_usr_002103,0.64,1.0,0.0,1.0,directo
ft_sal_000036,,0.0,0.25,0.0,1.0,
ft_sal_000037,,0.0,0.25,0.0,1.0,
ft_sal_000038,bm_usr_003445,0.574,0.85,0.0,1.0,directo
ft_sal_000039,bm_usr_005722,1.0,1.0,1.0,1.0,directo
ft_sal_000040,,0.0,0.25,0.0,1.0,
ft_sal_000041,,0.0,0.45,0.0,1.0,
ft_sal_000042,,0.0,0.25,0.0,0.75,
ft_sal_000043,,0.0,0.25,0.0,0.75,
ft_sal_000044,,0.0,0.25,0.0,1.0,
ft_sal_000045,bm_usr_005559,0.64,1.0,0.0,1.0,directo
ft_sal_000046,bm_usr_002545,0.64,1.0,0.0,1.0,directo
ft_sal_000047,bm_usr_002321,0.64,1.0,0.0,1.0,directo
ft_sal_000048,bm_usr_003842,0.64,1.0,0.0,1.0,directo
ft_sal_000049,,0.0,0.25,0.0,1.0,
ft_sal_000050,bm_usr_001257,1.0,1.0,1.0,1.0,directo
ft_sal_000051,bm_usr_001968,1.0,1.0,1.0,1.0,directo
ft_sal_000052,bm_usr_000687,1.0,1.0,1.0,1.0,directo
ft_sal_000053,bm_usr_005705,0.64,1.0,0.0,1.0,directo
ft_sal_000054,bm_usr_002417,0.91,1.0,0.75,1.0,directo
ft_sal_000055,bm_usr_002718,1.0,1.0,1.0,1.0,directo
ft_sal_000056,,0.0,0.25,0.0,1.0,
ft_sal_000057,bm_usr_000702,1.0,1.0,1.0,1.0,directo
ft_sal_000058,bm_usr_003892,0.64,1.0,0.0,1.0,directo
ft_sal_000059,bm_usr_005103,1.0,1.0,1.0,1.0,directo
ft_sal_000060,bm_usr_004310,0.91,1.0,0.75,1.0,directo
ft_sal_000061,bm_usr_005856,0.91,1.0,0.75,1.0,directo
ft_sal_000062,bm_usr_002998,1.0,1.0,1.0,1.0,directo
ft_sal_000063,bm_usr_002969,1.0,1.0,1.0,1.0,directo
ft_sal_000064,bm_usr_001016,1.0,1.0,1.0,1.0,directo
ft_sal_000065,bm_usr_001454,0.934,0.85,1.0,1.0,directo
ft_sal_000066,,0.0,0.25,0.0,1.0,
ft_sal_000067,bm_usr_000843,1.0,1.0,1.0,1.0,directo
ft_sal_000068,bm_usr_003286,1.0,1.0,1.0,1.0,directo
ft_sal_000069,,0.0,0.25,0.0,1.0,
ft_sal_000070,bm_usr_003472,1.0,1.0,1.0,1.0,directo
ft_sal_000071,bm_usr_004692,1.0,1.0,1.0,1.0,directo
ft_sal_000072,bm_usr_004792,1.0,1.0,1.0,1.0,directo
ft_sal_000073,,0.0,0.25,0.0,1.0,
ft_sal_000074,bm_usr_001268,0.91,1.0,0.75,1.0,directo
ft_sal_000075,,0.0,0.25,0.0,0.75,
ft_sal_000076,bm_usr_004316,0.934,0.85,1.0,1.0,directo
ft_sal_000077,,0.0,0.25,0.0,1.0,
ft_sal_000078,bm_usr_002532,0.934,0.85,1.0,1.0,directo
ft_sal_000079,bm_usr_003327,0.64,1.0,0.0,1.0,directo
