event_id,expected_attendance,p10,p90
ft_evt_0006,60,45,75
ft_evt_0007,38,28,48
ft_evt_0008,50,47,52
ft_evt_0009,32,30,35
ft_evt_0014,70,63,76
ft_evt_0015,64,58,70
ft_evt_0016,49,43,55
ft_evt_0017,32,28,35
ft_evt_0023,159,153,164
ft_evt_0024,63,59,67
ft_evt_0025,83,79,87
ft_evt_0026,52,49,55
ft_evt_0032,150,142,157
ft_evt_0033,64,60,69
ft_evt_0034,45,41,49
ft_evt_0035,54,50,57
ft_evt_0040,94,90,99
ft_evt_0041,73,69,77
ft_evt_0042,54,50,58
ft_evt_0043,27,19,36
ft_evt_0044,45,42,48
ft_evt_0046,293,279,307
ft_evt_0048,152,144,159
ft_evt_0050,367,359,374
ft_evt_0052,300,286,314
ft_evt_0054,107,78,137
ft_evt_0056,317,309,325
ft_evt_0058,96,71,122
ft_evt_0060,238,176,305
ft_evt_0062,98,69,128
