event_id,expected_attendance,p10,p90,artist_name,tickets_adquiridos,cortesias,pct_cortesia,compradores_en_boom,tasa_esperada
ft_evt_0006,60,51,69,Mala Hora,122,122,1.0,71,0.4929
ft_evt_0007,38,31,45,Mala Hora,78,78,1.0,60,0.4859
ft_evt_0008,50,47,53,Mala Hora,58,4,0.069,39,0.8563
ft_evt_0009,32,30,35,Mala Hora,37,3,0.0811,28,0.8753
ft_evt_0014,70,64,76,Micrófono Suelto,120,53,0.4417,62,0.582
ft_evt_0015,64,58,70,Micrófono Suelto,115,46,0.4,91,0.5542
ft_evt_0016,49,44,54,Micrófono Suelto,88,49,0.5568,76,0.5535
ft_evt_0017,32,28,35,Micrófono Suelto,48,15,0.3125,33,0.663
ft_evt_0023,159,152,165,Doble Sentido,192,32,0.1667,138,0.8279
ft_evt_0024,63,59,67,Doble Sentido,80,18,0.225,39,0.7914
ft_evt_0025,83,79,87,Doble Sentido,98,7,0.0714,79,0.846
ft_evt_0026,52,49,55,Doble Sentido,63,9,0.1429,55,0.8263
ft_evt_0032,150,141,158,La Bodega Improvisa,201,65,0.3234,122,0.7452
ft_evt_0033,64,59,69,La Bodega Improvisa,88,17,0.1932,39,0.7296
ft_evt_0034,45,41,49,La Bodega Improvisa,61,20,0.3279,32,0.7376
ft_evt_0035,54,50,58,La Bodega Improvisa,67,16,0.2388,39,0.8047
ft_evt_0040,94,89,99,Trasnoche Cali,118,25,0.2119,64,0.7992
ft_evt_0041,73,69,78,Trasnoche Cali,94,22,0.234,61,0.7781
ft_evt_0042,54,50,58,Trasnoche Cali,71,19,0.2676,49,0.76
ft_evt_0043,27,22,33,Trasnoche Cali,65,65,1.0,37,0.4225
ft_evt_0044,45,42,48,Trasnoche Cali,56,9,0.1607,42,0.8073
ft_evt_0046,293,277,309,Tres Sillas,427,133,0.3115,273,0.6872
ft_evt_0048,152,143,160,Cuento Corto,210,59,0.281,118,0.7229
ft_evt_0050,367,356,377,Sin Filtro,424,8,0.0189,228,0.8654
ft_evt_0052,300,285,315,Segunda Función,436,149,0.3417,262,0.6888
ft_evt_0054,107,91,124,Cuento Corto,273,273,1.0,193,0.3924
ft_evt_0056,317,307,327,Sin Filtro,378,2,0.0053,260,0.8389
ft_evt_0058,96,81,110,Roast de Medianoche,232,232,1.0,157,0.4129
ft_evt_0060,238,206,271,Sin Filtro,623,623,1.0,444,0.3822
ft_evt_0062,98,82,114,Los del Fondo,286,286,1.0,144,0.3419
